Expense Type,Sub-type,Purpose,Notes,Date of Sale,Location at Point of Sale,Country of Activity,City of Activity,Amount (USD),Code,
Travel,Hotel,Rockefeller Workshop in IND,"Novotel: includes 1 laundry, several bkfst buffets, and some business charges for printing, etc. ",12/13/14,"Semarang, IND",Indonesia,Semarang,734.80,RNI/IND,
Travel,Incidentals,Rockefeller Workshop in IND,IND exit tax: domestic,12/13/14,"Semarang, IND",Indonesia,Semarang,2.39,RNI/IND,
Travel,Incidentals,Rockefeller Workshop in IND,IND exit tax: Intl,12/13/14,"Jakarta, IND",Indonesia,Semarang,11.93,RNI/IND,
Travel,Incidentals,Rockefeller Workshop in IND,VN Visa fee,12/13/14,"Hanoi, VN",Indonesia,Semarang,44.79,RNI/IND,
Travel,Meals,Rockefeller Workshops in VN & IND,Breakfast,12/14/14,"Hanoi, VN",Indonesia,Semarang,8.43,RNI/IND,
Travel,Meals,Rockefeller Workshops in VN & IND,Lunch,12/14/14,"Hanoi, VN",Indonesia,Semarang,8.43,RNI/IND,
Travel,Meals,Rockefeller Workshops in VN & IND,Dinner at airport,12/14/14,"Hanoi, VN",Indonesia,Semarang,9.00,RNI/IND,
Travel,Ground Transportation,Rockefeller Workshops in VN & IND,Taxi to airport,12/14/14,"Hanoi, VN",Indonesia,Semarang,18.28,RNI/IND,
Travel,Hotel,Rockefeller Workshops in VN & IND,"1 night layover in Hanoi, via Stellar Travel. Incl. room service for dinner. ",12/14/14,"Hanoi, VN",Indonesia,Semarang,157.29,RNI/IND,
Travel,Airfare,Consulting on SoW for RNI Indonesia project,Best price for availability on Delta,1/21/15,Online,Indonesia,Semarang,784.20,RNI/IND,
Travel,Hotel,Consulting on SoW for RNI Indonesia project,Best price on Hotwire,1/21/15,Online,Indonesia,Semarang,427.74,RNI/IND,
Travel,Ground Transportation,Consulting on SoW for RNI Indonesia project,RT to ATL airport,1/21/15,"Athens, GA",Indonesia,Semarang,72.00,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Lunch at airport,1/21/15,"Atlanta, GA",Indonesia,Semarang,8.71,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Lunch,1/22/15,"Washington, D.C.",Indonesia,Semarang,17.57,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Breakfast,1/22/15,"Washington, D.C.",Indonesia,Semarang,28.00,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Dinner,1/22/15,"Washington, D.C.",Indonesia,Semarang,26.08,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Breakfast,1/23/15,"Washington, D.C.",Indonesia,Semarang,7.79,RNI/IND,
Travel,Ground Transportation,Consulting on SoW for RNI Indonesia project,Metro pass,1/23/15,"Washington, D.C.",Indonesia,Semarang,20.00,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Lunch,1/23/15,"Washington, D.C.",Indonesia,Semarang,13.77,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Dinner w/ USAID,1/23/15,"Washington, D.C.",Indonesia,Semarang,18.97,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Breakfast,1/24/15,"Washington, D.C.",Indonesia,Semarang,8.88,RNI/IND,
Travel,Meal,Consulting on SoW for RNI Indonesia project,Snack,1/24/15,"Washington, D.C.",Indonesia,Semarang,5.55,RNI/IND,
Travel,Meals,Consulting on SoW for RNI Indonesia project,Lunch at airport,1/24/15,"Washington, D.C.",Indonesia,Semarang,11.14,RNI/IND,
Travel,Airfare,SoW & IND project launch,Through Stellar travel,2/17/15,"Bellvue, WA",Indonesia,Semarang,3059.70,RNI/IND,
Travel,Ground Transportation,SoW & IND project launch,Airport Shuttle,2/18/15,"Athens, GA",Indonesia,Semarang,72.00,RNI/IND,
Travel,Visa,SoW & IND project launch,At airport,2/19/15,"Jakarta, IND",Indonesia,Semarang,35.00,RNI/IND,
Travel,Incidentals,SoW & IND project launch,Airport tax,2/20/15,"Jakarta, IND",Indonesia,Semarang,3.12,RNI/IND,
Travel,Meals,SoW & IND project launch,Airport breakfast,2/20/15,"Jakarta, IND",Indonesia,Semarang,5.97,RNI/IND,
Travel,Meals,SoW & IND project launch,snack,2/20/15,"Semarang, IND",Indonesia,Semarang,0.30,RNI/IND,
Travel ,Hotel,SoW & IND project launch,Layover hotel in JKT,2/20/15,"Jakarta, IND",Indonesia,Semarang,235.71,RNI/IND,
Contractor,Project Design,Consulting on SoW for RNI Indonesia project,Implemented by Ground Truth Initiative,2/21/15,"Washington, D.C.",Indonesia,Semarang,3900.00,RNI/IND,
Travel,Meals,SoW & IND project launch,Coffee & breakfast,2/22/15,"Semarang, IND",Indonesia,Semarang,4.13,RNI/IND,
Travel,Meals,SoW & IND project launch,Coffee w/ Semarang Partners,2/22/15,"Semarang, IND",Indonesia,Semarang,11.93,RNI/IND,
Travel,Meals,SoW & IND project launch,Dinner,2/22/15,"Semarang, IND",Indonesia,Semarang,18.82,RNI/IND,
Travel,Meals,SoW & IND project launch,Meal,2/23/15,"Semarang, IND",Indonesia,Semarang,15.61,RNI/IND,
Travel,Meals,SoW & IND project launch,Coffee & breakfast,2/23/15,"Semarang, IND",Indonesia,Semarang,4.13,RNI/IND,
Travel,Meals,SoW & IND project launch,Meal,2/24/15,"Semarang, IND",Indonesia,Semarang,6.79,RNI/IND,
Travel,Meals,SoW & IND project launch,Coffee w/ Semarang Partners,2/24/15,"Semarang, IND",Indonesia,Semarang,12.36,RNI/IND,
Travel,Ground Transportation,SoW & IND project launch,Taxi from airport in JKT,2/25/15,"Jakarta, IND",Indonesia,Semarang,11.98,RNI/IND,
Travel,Meals,SoW & IND project launch,Dinner,2/25/15,"Jakarta, IND",Indonesia,Semarang,11.62,RNI/IND,
Travel,Meals,SoW & IND project launch,snack,2/25/15,"Jakarta, IND",Indonesia,Semarang,3.90,RNI/IND,
Travel,Incidentals,SoW & IND project launch,Airport tax,2/25/15,"Semarang, IND",Indonesia,Semarang,2.34,RNI/IND,
Travel ,Hotel,SoW & IND project launch,Novotel incl. some meals,2/25/15,"Semarang, IND",Indonesia,Semarang,305.10,RNI/IND,
Travel,Meals,SoW & IND project launch,Dinner,2/26/15,"Jakarta, IND",Indonesia,Semarang,14.02,RNI/IND,
Travel,Meals,SoW & IND project launch,Lunch,2/26/15,"Jakarta, IND",Indonesia,Semarang,7.06,RNI/IND,
Travel,Ground Transportation,SoW & IND project launch,Taxis (multiple),2/27/15,"Jakarta, IND",Indonesia,Semarang,7.02,RNI/IND,
Travel,Meals,SoW & IND project launch,Lunch,2/27/15,"Jakarta, IND",Indonesia,Semarang,7.21,RNI/IND,
Travel,Ground Transportation,SoW & IND project launch,Taxi to airport in JKT,2/28/15,"Jakarta, IND",Indonesia,Semarang,11.98,RNI/IND,
Travel,Hotel,SoW & IND project launch,Via Stellar travel,2/28/15,"Jakarta, IND",Indonesia,Semarang,217.45,RNI/IND,
Travel,Incidentals,SoW & IND project launch,Airport tax,2/28/15,"Jakarta, IND",Indonesia,Semarang,11.70,RNI/IND,
Travel,Meals,SoW & IND project launch,Airport lunch,2/28/15,"Chicago, USA",Indonesia,Semarang,12.54,RNI/IND,
Contractor,RNI Implementation,First Payment to Hysteria,"Initial deposit, 1st OSM training",3/2/15,"Semarang, IND",Indonesia,Semarang,2000.00,RNI/IND,
Contractor,RNI Implementation,Second Payment to Hysteria,First community mapping activities,3/26/15,"Semarang, IND",Indonesia,Semarang,2242.78,RNI/IND,
Contractor,RNI Implementation,Third Payment to Hysteria,Ushahidi Training,5/1/15,"Semarang, IND",Indonesia,Semarang,"2,111.00",RNI/IND,
Operational,RNI Implementation,PetaSMG.com,Hosting by Ushahidi: Internal transfer.,5/6/15,Ushahidi,Indonesia,Semarang,600.00,RNI/IND,
Operational,RNI Implementation,Solutions Team for PetaSMG.com,White Lable v2 Deployment,5/7/15,Ushahidi,Indonesia,Semarang,6600.00,RNI/IND,
Contractor,RNI Implementation,Fourth Payment to Hysteria,Stakeholder meetings,6/1/15,"Semarang, IND",Indonesia,Semarang,"1,891.52",RNI/IND,
Contractor,RNI Implementation,Fifth Payment to Hysteria,Community Ushahidi training,8/5/15,"Semarang, IND",Indonesia,Semarang,"1,619.45",RNI/IND,
Equipment,Supplies,Schwag Bag for taking supplies & shirts for Hysteria launch party.,,8/20/15,"Athens, GA",Indonesia,Semarang,14.98,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Lunch in airport,8/21/15,"Chicago, USA",Indonesia,Semarang,10.50,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Breakfast in airport,8/21/15,"Atlanta, GA",Indonesia,Semarang,7.48,RNI/IND,
Travel,Visa,Final Activity: attending / helping with neighborhood launch party.,Visa fees ,8/22/15,"Jakarta, IND",Indonesia,Semarang,35.00,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Lunch,8/23/15,"Jakarta, IND",Indonesia,Semarang,2.52,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Dinner,8/24/15,"Jakarta, IND",Indonesia,Semarang,11.13,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Lunch,8/24/15,"Jakarta, IND",Indonesia,Semarang,5.81,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Groceries,8/24/15,"Jakarta, IND",Indonesia,Semarang,2.72,RNI/IND,
Contractor,RNI Implementation,Sixth Payment to Hysteria,Launch Ushahidi & PetaSMG.com!,8/25/15,"Semarang, IND",Indonesia,Semarang,"1,781.51",RNI/IND,
Contractor,RNI Implementation,To cover August Launch Party ,Launch party for PetaSMG.com,8/25/15,"Semarang, IND",Indonesia,Semarang,"1,853.74",RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Lunch,8/25/15,"Jakarta, IND",Indonesia,Semarang,4.25,RNI/IND,
Travel,Meals,Final Activity: attending / helping with neighborhood launch party.,Dinner,8/25/15,"Jakarta, IND",Indonesia,Semarang,13.68,RNI/IND,
Travel,Incidentals,Final Activity: attending / helping with neighborhood launch party.,Wifi Access,8/26/15,"Jakarta, IND",Indonesia,Semarang,8.16,RNI/IND,
